text,emotion_code,scenario,speaker_role,sarcasm,ring_level,iaa_score,emotion_cause,conversation_id,turn_number,timestamp
Best day ever!,dist,romance,partner,0,1,0.794,Reaction to customer_service,conv_9336,2,2026-05-02T06:19:00.031004
SEEING RED!,rage,family,friend,0,3,0.817,Reaction to customer_service,conv_2111,4,2026-05-02T06:19:00.048465
HEARTBROKEN.,grie,workplace,stranger,0,3,0.895,Reaction to workplace,conv_9732,6,2026-05-02T06:19:00.047990
I'm worried something might go wrong.,fear,education,stranger,0,2,0.905,Reaction to education,conv_5824,3,2026-05-02T06:19:00.044398
Best day ever!,anno,romance,stranger,0,1,0.658,Reaction to friendship,conv_3813,10,2026-05-02T06:19:00.032544
Best day ever!,opti,customer_service,user,0,1,0.585,Reaction to romance,conv_2832,7,2026-05-02T06:19:00.043425
This makes me nervous.,fear,online_debate,user,0,2,0.755,Reaction to workplace,conv_7616,2,2026-05-02T06:19:00.044476
COMPLETELY STUNNED!,amaz,romance,stranger,0,3,0.882,Reaction to customer_service,conv_3313,7,2026-05-02T06:19:00.047526
This is amazing!,sadn,customer_service,agent,0,2,0.753,Reaction to friendship,conv_2576,9,2026-05-02T06:19:00.045302
This is amazing!,cont,friendship,partner,0,1,0.766,Reaction to family,conv_6671,12,2026-05-02T06:19:00.051067
This is amazing!,acce,online_debate,friend,0,1,0.654,Reaction to friendship,conv_4133,9,2026-05-02T06:19:00.030780
Best day ever!,aggr,education,partner,0,1,0.659,Reaction to online_debate,conv_6672,8,2026-05-02T06:19:00.051121
Overwhelmed.,awe,customer_service,friend,0,1,0.773,Reaction to healthcare,conv_4183,7,2026-05-02T06:19:00.049912
Best day ever!,anno,family,stranger,0,1,0.776,Reaction to healthcare,conv_8919,2,2026-05-02T06:19:00.032562
Best day ever!,sere,customer_service,partner,0,1,0.563,Reaction to education,conv_5717,1,2026-05-02T06:19:00.030384
This is amazing!,sadn,online_debate,user,0,2,0.941,Reaction to workplace,conv_2688,1,2026-05-02T06:19:00.045062
So happy about this!,sere,workplace,partner,0,1,0.8,Reaction to friendship,conv_7497,10,2026-05-02T06:19:00.030519
This is amazing!,dist,romance,friend,0,1,0.759,Reaction to romance,conv_3891,9,2026-05-02T06:19:00.030986
This is amazing!,opti,online_debate,partner,0,1,0.6,Reaction to healthcare,conv_7691,1,2026-05-02T06:19:00.043312
So happy about this!,acce,online_debate,user,0,1,0.689,Reaction to education,conv_8059,11,2026-05-02T06:19:00.030926
This is amazing!,subm,family,user,0,1,0.66,Reaction to online_debate,conv_2511,9,2026-05-02T06:19:00.049485
What a surprise!,supr,family,partner,0,2,0.83,Reaction to romance,conv_6501,3,2026-05-02T06:19:00.051626
ABSOLUTELY THRILLED!,ecst,customer_service,friend,0,3,0.874,Reaction to healthcare,conv_6214,1,2026-05-02T06:19:00.046579
So happy about this!,disa,customer_service,user,0,1,0.74,Reaction to online_debate,conv_1636,8,2026-05-02T06:19:00.050260
SEEING RED!,rage,workplace,partner,0,3,0.667,Reaction to healthcare,conv_7100,6,2026-05-02T06:19:00.048459
Didn't see that coming!,supr,friendship,friend,0,2,0.921,Reaction to online_debate,conv_4110,8,2026-05-02T06:19:00.051478
Best day ever!,sere,healthcare,agent,0,1,0.693,Reaction to education,conv_6491,5,2026-05-02T06:19:00.030443
This makes me nervous.,fear,workplace,agent,0,2,0.739,Reaction to family,conv_8185,8,2026-05-02T06:19:00.044564
This makes me nervous.,fear,workplace,user,0,2,0.95,Reaction to customer_service,conv_5170,11,2026-05-02T06:19:00.044302
PARALYZED WITH FEAR!,terr,family,friend,0,3,0.681,Reaction to friendship,conv_8257,2,2026-05-02T06:19:00.047169
So happy about this!,admi,family,user,0,3,0.856,Reaction to education,conv_8828,9,2026-05-02T06:19:00.046793
ABSOLUTELY THRILLED!,ecst,customer_service,partner,0,3,0.783,Reaction to customer_service,conv_4323,4,2026-05-02T06:19:00.046506
This is amazing!,acce,online_debate,friend,0,1,0.704,Reaction to healthcare,conv_3629,9,2026-05-02T06:19:00.030720
So happy about this!,aggr,education,friend,0,1,0.639,Reaction to healthcare,conv_3111,8,2026-05-02T06:19:00.051298
This is amazing!,opti,online_debate,partner,0,1,0.795,Reaction to romance,conv_2513,4,2026-05-02T06:19:00.043457
REVOLTED!,loat,healthcare,user,0,3,0.922,Reaction to workplace,conv_6845,4,2026-05-02T06:19:00.048235
So happy about this!,admi,romance,partner,0,3,0.817,Reaction to customer_service,conv_9501,3,2026-05-02T06:19:00.046962
"Fantastic, more work.",joy,healthcare,user,1,2,0.68,Reaction to family,conv_7015,7,2026-05-02T06:19:00.043567
This is amazing!,admi,friendship,agent,0,3,0.793,Reaction to education,conv_2646,8,2026-05-02T06:19:00.046775
Best day ever!,acce,family,user,0,1,0.805,Reaction to workplace,conv_9488,8,2026-05-02T06:19:00.030868
So happy about this!,sere,family,friend,0,1,0.558,Reaction to romance,conv_7405,1,2026-05-02T06:19:00.030584
Best day ever!,sere,healthcare,partner,0,1,0.771,Reaction to friendship,conv_9437,12,2026-05-02T06:19:00.030531
Unexpected!,supr,workplace,partner,0,2,0.82,Reaction to customer_service,conv_5087,9,2026-05-02T06:19:00.051723
MIND-BLOWING!,amaz,friendship,partner,0,3,0.891,Reaction to family,conv_5359,2,2026-05-02T06:19:00.047590
Best day ever!,remo,education,agent,0,1,0.706,Reaction to education,conv_4774,12,2026-05-02T06:19:00.050480
Best day ever!,opti,workplace,stranger,0,1,0.667,Reaction to online_debate,conv_4194,12,2026-05-02T06:19:00.043238
So happy about this!,dist,family,agent,0,1,0.762,Reaction to friendship,conv_1418,2,2026-05-02T06:19:00.031095
DEVASTATED by this loss.,grie,friendship,friend,0,3,0.781,Reaction to workplace,conv_3846,2,2026-05-02T06:19:00.047828
So happy about this!,sadn,online_debate,user,0,2,0.833,Reaction to online_debate,conv_8062,6,2026-05-02T06:19:00.045134
Best day ever!,subm,customer_service,friend,0,1,0.594,Reaction to workplace,conv_3046,9,2026-05-02T06:19:00.049473
This is amazing!,bore,healthcare,stranger,0,1,0.738,Reaction to healthcare,conv_5727,9,2026-05-02T06:19:00.031716
So happy about this!,pens,healthcare,agent,0,1,0.775,Reaction to healthcare,conv_7913,6,2026-05-02T06:19:00.031465
So happy about this!,anno,education,friend,0,1,0.579,Reaction to family,conv_7699,10,2026-05-02T06:19:00.032709
This is amazing!,joy,romance,stranger,0,2,0.674,Reaction to friendship,conv_8729,9,2026-05-02T06:19:00.043887
On high alert.,vigi,online_debate,friend,0,3,0.846,Reaction to romance,conv_4623,3,2026-05-02T06:19:00.048975
Drowning in sorrow.,grie,family,partner,0,3,0.891,Reaction to family,conv_5137,4,2026-05-02T06:19:00.047712
This is amazing!,trus,customer_service,user,0,2,0.81,Reaction to healthcare,conv_4332,8,2026-05-02T06:19:00.044276
This makes me nervous.,fear,education,stranger,0,2,0.941,Reaction to customer_service,conv_5863,6,2026-05-02T06:19:00.044470
Best day ever!,anno,online_debate,friend,0,1,0.705,Reaction to online_debate,conv_4014,8,2026-05-02T06:19:00.032502
This is amazing!,opti,online_debate,partner,0,1,0.599,Reaction to customer_service,conv_4362,10,2026-05-02T06:19:00.043324
Best day ever!,aggr,customer_service,user,0,1,0.586,Reaction to romance,conv_7206,8,2026-05-02T06:19:00.051165
What a surprise!,supr,workplace,partner,0,2,0.716,Reaction to healthcare,conv_6837,11,2026-05-02T06:19:00.051584
SEEING RED!,rage,healthcare,friend,0,3,0.794,Reaction to healthcare,conv_6647,12,2026-05-02T06:19:00.048447
REVOLTED!,loat,romance,user,0,3,0.745,Reaction to customer_service,conv_6593,3,2026-05-02T06:19:00.048346
So happy about this!,surp,customer_service,stranger,0,2,0.696,Reaction to education,conv_1039,8,2026-05-02T06:19:00.044646
This is amazing!,opti,friendship,agent,0,1,0.722,Reaction to family,conv_4496,6,2026-05-02T06:19:00.043528
So happy about this!,inte,online_debate,user,0,1,0.803,Reaction to healthcare,conv_4539,5,2026-05-02T06:19:00.032159
This is amazing!,joy,education,user,0,2,0.665,Reaction to online_debate,conv_4794,11,2026-05-02T06:19:00.043905
Best day ever!,remo,workplace,agent,0,1,0.77,Reaction to romance,conv_8973,12,2026-05-02T06:19:00.050718
So happy about this!,inte,friendship,friend,0,1,0.776,Reaction to online_debate,conv_7025,12,2026-05-02T06:19:00.032197
So happy about this!,bore,customer_service,agent,0,1,0.779,Reaction to education,conv_3242,2,2026-05-02T06:19:00.031638
So happy about this!,pens,family,agent,0,1,0.757,Reaction to healthcare,conv_6836,7,2026-05-02T06:19:00.031471
So happy about this!,bore,education,agent,0,1,0.575,Reaction to education,conv_2392,7,2026-05-02T06:19:00.031886
This is amazing!,disa,healthcare,agent,0,1,0.709,Reaction to healthcare,conv_4712,12,2026-05-02T06:19:00.050365
So happy about this!,aggr,family,user,0,1,0.796,Reaction to online_debate,conv_1741,11,2026-05-02T06:19:00.051408
COMPLETELY STUNNED!,amaz,healthcare,stranger,0,3,0.666,Reaction to education,conv_1163,8,2026-05-02T06:19:00.047630
So happy about this!,acce,online_debate,partner,0,1,0.792,Reaction to healthcare,conv_1015,9,2026-05-02T06:19:00.030678
Best day ever!,cont,education,agent,0,1,0.71,Reaction to online_debate,conv_8274,7,2026-05-02T06:19:00.050850
So happy about this!,disa,friendship,friend,0,1,0.638,Reaction to customer_service,conv_9253,8,2026-05-02T06:19:00.050134
BEST DAY OF MY LIFE!,ecst,healthcare,friend,0,3,0.853,Reaction to customer_service,conv_1851,4,2026-05-02T06:19:00.046670
Best day ever!,dist,healthcare,friend,0,1,0.758,Reaction to online_debate,conv_3523,2,2026-05-02T06:19:00.031196
So happy about this!,disg,online_debate,user,0,2,0.866,Reaction to romance,conv_8194,10,2026-05-02T06:19:00.045536
This is amazing!,aggr,customer_service,user,0,1,0.651,Reaction to education,conv_4873,1,2026-05-02T06:19:00.051127
Unexpected!,supr,education,partner,0,2,0.898,Reaction to customer_service,conv_1365,12,2026-05-02T06:19:00.051717
NIGHTMARE COME TRUE!,terr,healthcare,friend,0,3,0.739,Reaction to education,conv_4260,6,2026-05-02T06:19:00.047324
Afraid of consequences.,fear,customer_service,stranger,0,2,0.7,Reaction to workplace,conv_8542,12,2026-05-02T06:19:00.044373
This is amazing!,sere,family,partner,0,1,0.761,Reaction to online_debate,conv_2201,1,2026-05-02T06:19:00.030449
This is amazing!,disg,healthcare,user,0,2,0.809,Reaction to friendship,conv_4813,3,2026-05-02T06:19:00.045519
This is amazing!,trus,education,friend,0,2,0.816,Reaction to customer_service,conv_6820,7,2026-05-02T06:19:00.043925
So happy about this!,aggr,online_debate,agent,0,1,0.567,Reaction to romance,conv_9589,1,2026-05-02T06:19:00.051316
So happy about this!,ange,romance,stranger,0,2,0.702,Reaction to customer_service,conv_3435,4,2026-05-02T06:19:00.045718
This makes me nervous.,fear,customer_service,friend,0,2,0.656,Reaction to romance,conv_6702,3,2026-05-02T06:19:00.044313
DEVASTATED by this loss.,grie,workplace,friend,0,3,0.682,Reaction to education,conv_4430,3,2026-05-02T06:19:00.047887
Drowning in sorrow.,grie,online_debate,agent,0,3,0.939,Reaction to online_debate,conv_7558,10,2026-05-02T06:19:00.047853
Best day ever!,subm,family,agent,0,1,0.802,Reaction to customer_service,conv_2599,4,2026-05-02T06:19:00.049692
Best day ever!,bore,family,stranger,0,1,0.781,Reaction to customer_service,conv_9580,5,2026-05-02T06:19:00.031769
Mean so much.,love,family,user,0,1,0.659,Reaction to friendship,conv_1350,3,2026-05-02T06:19:00.049115
So happy about this!,ange,family,user,0,2,0.804,Reaction to healthcare,conv_1213,11,2026-05-02T06:19:00.045736
Best day ever!,inte,online_debate,friend,0,1,0.776,Reaction to customer_service,conv_9771,12,2026-05-02T06:19:00.032072
So happy about this!,ange,family,stranger,0,2,0.726,Reaction to customer_service,conv_7960,7,2026-05-02T06:19:00.045694
This is amazing!,sadn,workplace,stranger,0,2,0.757,Reaction to education,conv_6289,11,2026-05-02T06:19:00.045044
This is amazing!,surp,healthcare,friend,0,2,0.8,Reaction to workplace,conv_5345,12,2026-05-02T06:19:00.044868
REVOLTED!,loat,family,friend,0,3,0.759,Reaction to healthcare,conv_9515,12,2026-05-02T06:19:00.048203
So happy about this!,acce,friendship,friend,0,1,0.76,Reaction to healthcare,conv_6964,10,2026-05-02T06:19:00.030641
Best day ever!,subm,family,partner,0,1,0.707,Reaction to education,conv_9991,8,2026-05-02T06:19:00.049627
MIND-BLOWING!,amaz,workplace,friend,0,3,0.822,Reaction to workplace,conv_1546,9,2026-05-02T06:19:00.047474
Best day ever!,appr,family,friend,0,2,0.901,Reaction to family,conv_7147,9,2026-05-02T06:19:00.046232
So happy about this!,pens,family,stranger,0,1,0.775,Reaction to family,conv_4110,2,2026-05-02T06:19:00.031430
So happy about this!,acce,healthcare,agent,0,1,0.63,Reaction to family,conv_9523,3,2026-05-02T06:19:00.030647
Full of affection.,love,romance,partner,0,1,0.796,Reaction to friendship,conv_6392,2,2026-05-02T06:19:00.049218
This is amazing!,sere,romance,user,0,1,0.56,Reaction to family,conv_4439,9,2026-05-02T06:19:00.030290
So happy about this!,aggr,healthcare,agent,0,1,0.606,Reaction to workplace,conv_5799,4,2026-05-02T06:19:00.051221
Best day ever!,inte,online_debate,partner,0,1,0.722,Reaction to workplace,conv_1289,2,2026-05-02T06:19:00.032006
"Fantastic, more work.",joy,friendship,stranger,1,2,0.893,Reaction to romance,conv_3764,2,2026-05-02T06:19:00.043790
This is amazing!,subm,customer_service,friend,0,1,0.747,Reaction to family,conv_2746,11,2026-05-02T06:19:00.049592
This is amazing!,sere,family,user,0,1,0.605,Reaction to online_debate,conv_7074,2,2026-05-02T06:19:00.030525
BLIND RAGE!,rage,online_debate,stranger,0,3,0.917,Reaction to family,conv_4158,1,2026-05-02T06:19:00.048648
Best day ever!,admi,family,partner,0,3,0.878,Reaction to online_debate,conv_4995,6,2026-05-02T06:19:00.047002
This is amazing!,dist,customer_service,friend,0,1,0.565,Reaction to online_debate,conv_9907,7,2026-05-02T06:19:00.031167
"Oh great, another meeting.",joy,workplace,stranger,1,2,0.859,Reaction to romance,conv_3324,4,2026-05-02T06:19:00.043854
COMPLETELY STUNNED!,amaz,workplace,agent,0,3,0.837,Reaction to customer_service,conv_5326,12,2026-05-02T06:19:00.047515
So happy about this!,bore,education,stranger,0,1,0.689,Reaction to customer_service,conv_6395,8,2026-05-02T06:19:00.031922
Mean so much.,love,education,agent,0,1,0.62,Reaction to customer_service,conv_3650,8,2026-05-02T06:19:00.049289
On high alert.,vigi,friendship,agent,0,3,0.715,Reaction to healthcare,conv_4322,5,2026-05-02T06:19:00.048864
So happy about this!,pens,education,stranger,0,1,0.636,Reaction to romance,conv_3610,10,2026-05-02T06:19:00.031368
Overwhelmed.,awe,healthcare,friend,0,1,0.64,Reaction to friendship,conv_6969,9,2026-05-02T06:19:00.049835
What a surprise!,supr,education,partner,0,2,0.877,Reaction to romance,conv_6659,7,2026-05-02T06:19:00.051693
So happy about this!,pens,healthcare,agent,0,1,0.619,Reaction to family,conv_8076,4,2026-05-02T06:19:00.031405
Best day ever!,dist,friendship,agent,0,1,0.735,Reaction to friendship,conv_1344,2,2026-05-02T06:19:00.031126
Best day ever!,cont,workplace,partner,0,1,0.807,Reaction to customer_service,conv_7863,8,2026-05-02T06:19:00.050881
BLIND RAGE!,rage,healthcare,partner,0,3,0.749,Reaction to family,conv_1272,5,2026-05-02T06:19:00.048636
Best day ever!,anno,customer_service,agent,0,1,0.59,Reaction to healthcare,conv_6093,8,2026-05-02T06:19:00.032734
Best day ever!,aggr,romance,partner,0,1,0.797,Reaction to education,conv_2100,7,2026-05-02T06:19:00.051334
OVER THE MOON!,ecst,workplace,friend,0,3,0.811,Reaction to romance,conv_1950,7,2026-05-02T06:19:00.046448
NIGHTMARE COME TRUE!,terr,workplace,agent,0,3,0.69,Reaction to education,conv_5273,3,2026-05-02T06:19:00.047129
This is amazing!,acce,healthcare,friend,0,1,0.642,Reaction to workplace,conv_7175,1,2026-05-02T06:19:00.030768
This is amazing!,pens,customer_service,friend,0,1,0.679,Reaction to romance,conv_7462,7,2026-05-02T06:19:00.031340
Best day ever!,trus,family,partner,0,2,0.857,Reaction to customer_service,conv_8108,2,2026-05-02T06:19:00.044270
Profoundly moving.,awe,education,friend,0,1,0.79,Reaction to workplace,conv_3691,3,2026-05-02T06:19:00.049906
This is amazing!,disg,workplace,friend,0,2,0.656,Reaction to romance,conv_7568,12,2026-05-02T06:19:00.045381
Best day ever!,dist,workplace,friend,0,1,0.682,Reaction to family,conv_5254,3,2026-05-02T06:19:00.031297
This is amazing!,inte,family,stranger,0,1,0.747,Reaction to workplace,conv_6278,8,2026-05-02T06:19:00.032380
Profoundly moving.,awe,education,partner,0,1,0.735,Reaction to online_debate,conv_7976,3,2026-05-02T06:19:00.049788
MIND-BLOWING!,amaz,friendship,stranger,0,3,0.717,Reaction to online_debate,conv_3260,4,2026-05-02T06:19:00.047399
So happy about this!,sere,workplace,partner,0,1,0.725,Reaction to online_debate,conv_4102,11,2026-05-02T06:19:00.030310
This makes me nervous.,fear,education,stranger,0,2,0.828,Reaction to online_debate,conv_9465,2,2026-05-02T06:19:00.044361
Best day ever!,disa,online_debate,partner,0,1,0.694,Reaction to online_debate,conv_3169,4,2026-05-02T06:19:00.050226
Best day ever!,aggr,family,partner,0,1,0.636,Reaction to workplace,conv_7946,10,2026-05-02T06:19:00.051233
Care deeply.,love,romance,user,0,1,0.737,Reaction to education,conv_1610,11,2026-05-02T06:19:00.049139
Full of affection.,love,family,stranger,0,1,0.666,Reaction to workplace,conv_6708,12,2026-05-02T06:19:00.049205
So happy about this!,remo,online_debate,agent,0,1,0.717,Reaction to friendship,conv_6853,9,2026-05-02T06:19:00.050504
DEVASTATED by this loss.,grie,romance,user,0,3,0.772,Reaction to education,conv_3738,4,2026-05-02T06:19:00.048014
This is amazing!,remo,healthcare,stranger,0,1,0.676,Reaction to friendship,conv_1699,4,2026-05-02T06:19:00.050510
Best day ever!,admi,education,partner,0,3,0.853,Reaction to friendship,conv_4069,11,2026-05-02T06:19:00.046956
Best day ever!,disa,education,stranger,0,1,0.801,Reaction to education,conv_1320,5,2026-05-02T06:19:00.050183
This is amazing!,subm,customer_service,agent,0,1,0.606,Reaction to family,conv_1116,5,2026-05-02T06:19:00.049550
This is amazing!,sere,romance,partner,0,1,0.807,Reaction to friendship,conv_5787,12,2026-05-02T06:19:00.030316
So happy about this!,subm,romance,friend,0,1,0.717,Reaction to friendship,conv_7865,7,2026-05-02T06:19:00.049650
This is amazing!,remo,friendship,stranger,0,1,0.76,Reaction to romance,conv_6558,10,2026-05-02T06:19:00.050746
This is amazing!,joy,friendship,stranger,0,2,0.87,Reaction to friendship,conv_8045,1,2026-05-02T06:19:00.043777
Best day ever!,surp,friendship,friend,0,2,0.933,Reaction to education,conv_6216,8,2026-05-02T06:19:00.044886
So happy about this!,sadn,family,friend,0,2,0.865,Reaction to healthcare,conv_5926,8,2026-05-02T06:19:00.045327
Best day ever!,disa,family,user,0,1,0.788,Reaction to friendship,conv_2755,2,2026-05-02T06:19:00.050201
So happy about this!,sadn,online_debate,friend,0,2,0.698,Reaction to healthcare,conv_7401,12,2026-05-02T06:19:00.045009
Best day ever!,anno,romance,partner,0,1,0.661,Reaction to workplace,conv_4483,7,2026-05-02T06:19:00.032632
Best day ever!,cont,online_debate,user,0,1,0.567,Reaction to romance,conv_9854,9,2026-05-02T06:19:00.050960
HYPERVIGILANT.,vigi,family,stranger,0,3,0.714,Reaction to healthcare,conv_5987,9,2026-05-02T06:19:00.048963
HYPERVIGILANT.,vigi,friendship,user,0,3,0.652,Reaction to family,conv_1953,7,2026-05-02T06:19:00.048935
So happy about this!,anno,family,user,0,1,0.602,Reaction to workplace,conv_6992,11,2026-05-02T06:19:00.032520
This is amazing!,admi,friendship,user,0,3,0.89,Reaction to friendship,conv_3511,5,2026-05-02T06:19:00.046939
This is amazing!,cont,customer_service,partner,0,1,0.637,Reaction to healthcare,conv_1742,1,2026-05-02T06:19:00.050791
ABSOLUTELY TERRIFIED!,terr,online_debate,stranger,0,3,0.768,Reaction to online_debate,conv_9586,1,2026-05-02T06:19:00.047152
Best day ever!,appr,family,partner,0,2,0.67,Reaction to customer_service,conv_2621,1,2026-05-02T06:19:00.046268
Full of affection.,love,workplace,partner,0,1,0.803,Reaction to customer_service,conv_3866,7,2026-05-02T06:19:00.049330
ABSOLUTELY TERRIFIED!,terr,healthcare,friend,0,3,0.861,Reaction to healthcare,conv_7837,7,2026-05-02T06:19:00.047251
Best day ever!,anno,online_debate,partner,0,1,0.641,Reaction to customer_service,conv_7118,12,2026-05-02T06:19:00.032514
Best day ever!,surp,online_debate,user,0,2,0.736,Reaction to workplace,conv_4491,5,2026-05-02T06:19:00.044817
Best day ever!,dist,customer_service,user,0,1,0.656,Reaction to romance,conv_3902,9,2026-05-02T06:19:00.031011
Best day ever!,acce,romance,user,0,1,0.574,Reaction to romance,conv_1578,2,2026-05-02T06:19:00.030740
So happy about this!,anno,healthcare,agent,0,1,0.625,Reaction to healthcare,conv_2792,1,2026-05-02T06:19:00.032692
Best day ever!,sere,online_debate,stranger,0,1,0.733,Reaction to healthcare,conv_5787,2,2026-05-02T06:19:00.030572
So happy about this!,bore,online_debate,stranger,0,1,0.807,Reaction to education,conv_9802,6,2026-05-02T06:19:00.031875
OVER THE MOON!,ecst,family,agent,0,3,0.66,Reaction to friendship,conv_9450,7,2026-05-02T06:19:00.046523
So happy about this!,opti,education,friend,0,1,0.759,Reaction to friendship,conv_5360,5,2026-05-02T06:19:00.043469
So happy about this!,disa,friendship,agent,0,1,0.719,Reaction to healthcare,conv_7418,10,2026-05-02T06:19:00.050347
Best day ever!,sere,family,user,0,1,0.763,Reaction to customer_service,conv_4836,2,2026-05-02T06:19:00.030502
Best day ever!,appr,friendship,partner,0,2,0.864,Reaction to customer_service,conv_7262,2,2026-05-02T06:19:00.046292
Best day ever!,inte,family,agent,0,1,0.595,Reaction to healthcare,conv_3213,5,2026-05-02T06:19:00.032024
This is amazing!,dist,online_debate,friend,0,1,0.665,Reaction to friendship,conv_6701,1,2026-05-02T06:19:00.031120
HATE EVERY FIBER!,loat,romance,stranger,0,3,0.765,Reaction to customer_service,conv_7429,5,2026-05-02T06:19:00.048116
This is amazing!,aggr,friendship,stranger,0,1,0.562,Reaction to romance,conv_5952,11,2026-05-02T06:19:00.051280
ABSOLUTELY DESPISE THIS!,loat,romance,user,0,3,0.816,Reaction to customer_service,conv_2595,2,2026-05-02T06:19:00.048318
This is amazing!,inte,workplace,stranger,0,1,0.583,Reaction to friendship,conv_2644,9,2026-05-02T06:19:00.031987
This is amazing!,disg,romance,partner,0,2,0.696,Reaction to friendship,conv_7365,4,2026-05-02T06:19:00.045669
So happy about this!,trus,friendship,partner,0,2,0.924,Reaction to education,conv_1699,8,2026-05-02T06:19:00.043955
OVER THE MOON!,ecst,friendship,friend,0,3,0.884,Reaction to family,conv_5148,2,2026-05-02T06:19:00.046419
OVER THE MOON!,ecst,healthcare,agent,0,3,0.675,Reaction to romance,conv_8305,4,2026-05-02T06:19:00.046400
ABSOLUTELY DESPISE THIS!,loat,healthcare,stranger,0,3,0.948,Reaction to romance,conv_8592,9,2026-05-02T06:19:00.048067
Care deeply.,love,education,friend,0,1,0.555,Reaction to family,conv_2489,4,2026-05-02T06:19:00.049092
This is amazing!,subm,online_debate,partner,0,1,0.647,Reaction to education,conv_4671,7,2026-05-02T06:19:00.049491
Mean so much.,love,online_debate,agent,0,1,0.574,Reaction to family,conv_6953,8,2026-05-02T06:19:00.049342
So happy about this!,aggr,workplace,user,0,1,0.557,Reaction to education,conv_4381,4,2026-05-02T06:19:00.051340
So happy about this!,bore,workplace,friend,0,1,0.572,Reaction to friendship,conv_7428,3,2026-05-02T06:19:00.031892
Mean so much.,love,customer_service,user,0,1,0.561,Reaction to online_debate,conv_3162,11,2026-05-02T06:19:00.049052
So happy about this!,pens,customer_service,agent,0,1,0.659,Reaction to workplace,conv_9396,8,2026-05-02T06:19:00.031489
So happy about this!,bore,customer_service,partner,0,1,0.776,Reaction to customer_service,conv_6147,5,2026-05-02T06:19:00.031786
Didn't see that coming!,supr,online_debate,stranger,0,2,0.912,Reaction to online_debate,conv_9552,7,2026-05-02T06:19:00.051490
So happy about this!,ange,family,partner,0,2,0.674,Reaction to online_debate,conv_7615,2,2026-05-02T06:19:00.045767
This is amazing!,surp,friendship,stranger,0,2,0.677,Reaction to romance,conv_7630,11,2026-05-02T06:19:00.044947
So happy about this!,aggr,workplace,agent,0,1,0.598,Reaction to customer_service,conv_8272,12,2026-05-02T06:19:00.051256
COMPLETELY STUNNED!,amaz,friendship,agent,0,3,0.821,Reaction to customer_service,conv_4105,11,2026-05-02T06:19:00.047491
Best day ever!,aggr,workplace,user,0,1,0.76,Reaction to friendship,conv_9417,10,2026-05-02T06:19:00.051152
So happy about this!,dist,online_debate,stranger,0,1,0.645,Reaction to education,conv_1173,3,2026-05-02T06:19:00.031155
Best day ever!,inte,family,agent,0,1,0.565,Reaction to workplace,conv_6629,12,2026-05-02T06:19:00.032066
So happy about this!,subm,healthcare,friend,0,1,0.592,Reaction to friendship,conv_3054,5,2026-05-02T06:19:00.049514
This is amazing!,disg,education,agent,0,2,0.865,Reaction to family,conv_9457,2,2026-05-02T06:19:00.045345
This is amazing!,subm,romance,agent,0,1,0.656,Reaction to healthcare,conv_6307,11,2026-05-02T06:19:00.049418
HEARTBROKEN.,grie,education,agent,0,3,0.717,Reaction to workplace,conv_5154,9,2026-05-02T06:19:00.047699
Best day ever!,cont,friendship,user,0,1,0.739,Reaction to romance,conv_4673,8,2026-05-02T06:19:00.050857
BLIND RAGE!,rage,friendship,user,0,3,0.75,Reaction to education,conv_6490,8,2026-05-02T06:19:00.048523
COMPLETELY STUNNED!,amaz,romance,friend,0,3,0.763,Reaction to healthcare,conv_2373,8,2026-05-02T06:19:00.047434
Best day ever!,sere,healthcare,agent,0,1,0.794,Reaction to workplace,conv_1654,8,2026-05-02T06:19:00.030467
Best day ever!,surp,workplace,partner,0,2,0.652,Reaction to online_debate,conv_8944,3,2026-05-02T06:19:00.044768
This makes me nervous.,fear,healthcare,agent,0,2,0.934,Reaction to healthcare,conv_7658,6,2026-05-02T06:19:00.044464
This is amazing!,disa,family,friend,0,1,0.752,Reaction to online_debate,conv_1482,1,2026-05-02T06:19:00.050074
Best day ever!,bore,education,user,0,1,0.656,Reaction to friendship,conv_6807,10,2026-05-02T06:19:00.031974
This is amazing!,sere,romance,friend,0,1,0.693,Reaction to workplace,conv_6738,4,2026-05-02T06:19:00.030346
Best day ever!,disg,online_debate,friend,0,2,0.855,Reaction to romance,conv_8010,9,2026-05-02T06:19:00.045459
Filled with wonder.,awe,family,partner,0,1,0.647,Reaction to friendship,conv_5348,7,2026-05-02T06:19:00.049894
"Oh great, another meeting.",joy,romance,friend,1,2,0.689,Reaction to workplace,conv_3678,9,2026-05-02T06:19:00.043554
So happy about this!,anno,friendship,stranger,0,1,0.654,Reaction to education,conv_6127,3,2026-05-02T06:19:00.032567
This makes me nervous.,fear,healthcare,stranger,0,2,0.676,Reaction to education,conv_7653,4,2026-05-02T06:19:00.044570
So happy about this!,opti,online_debate,agent,0,1,0.613,Reaction to customer_service,conv_5841,8,2026-05-02T06:19:00.032746
MIND-BLOWING!,amaz,friendship,partner,0,3,0.867,Reaction to workplace,conv_5429,8,2026-05-02T06:19:00.047520
Unexpected!,supr,education,agent,0,2,0.795,Reaction to family,conv_9681,10,2026-05-02T06:19:00.051548
PARALYZED WITH FEAR!,terr,romance,user,0,3,0.72,Reaction to education,conv_3030,10,2026-05-02T06:19:00.047329
